                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.10871,                0.83972,                      1,                0.23535,             0.00023725,             0.00023725,             0.00023725
                      2,                0.07032,                 0.8223,                      1,                0.24025,              0.0004282,              0.0004282,              0.0004282
                      3,                0.06311,                0.82056,                      1,                0.24187,             0.00057202,             0.00057202,             0.00057202
                      4,                0.05309,                0.85192,                      1,                0.22919,             0.00050194,             0.00050194,             0.00050194
                      5,                0.03747,                0.82578,                      1,                0.23754,             0.00050194,             0.00050194,             0.00050194
                      6,                0.03608,                0.84495,                      1,                0.23653,             0.00043126,             0.00043126,             0.00043126
                      7,                0.02087,                0.87631,                      1,                0.21696,             0.00036057,             0.00036057,             0.00036057
                      8,                0.01565,                0.87108,                      1,                0.22133,             0.00028988,             0.00028988,             0.00028988
                      9,                0.01007,                0.88328,                      1,                0.21368,              0.0002192,              0.0002192,              0.0002192
                     10,                0.00684,                0.88502,                      1,                0.21137,             0.00014851,             0.00014851,             0.00014851
